date,quarter,mesghal,usd
2024-04-07,148000000,152890000,608700
2024-04-08,158000000,156990000,637000
2024-04-12,168000000,167940000,641000
2024-04-13,166000000,161780000,618800
2024-04-14,157000000,162410000,638400
2024-04-15,160000000,164160000,619200
2024-04-16,160000000,164510000,597900
2024-04-17,163000000,165890000,600900
2024-04-19,155000000,158680000,629000
2024-04-20,156000000,160780000,627600
2024-04-21,155000000,157690000,640100
2024-04-22,151000000,154230000,618300
2024-04-23,150000000,153080000,613700
2024-04-24,151000000,152590000,644200
2024-04-26,144000000,148870000,600600
2024-04-27,143000000,144080000,620100
2024-04-28,148000000,151620000,627500
2024-04-29,154000000,149870000,644100
2024-04-30,153000000,148820000,631000
2024-05-01,155000000,149420000,597300
2024-05-04,149000000,145770000,606100
2024-05-05,153000000,151460000,602200
2024-05-06,150000000,148510000,597200
2024-05-07,152000000,148010000,599500
2024-05-08,153000000,147660000,634600
2024-05-10,151000000,147490000,633700
2024-05-11,150000000,145890000,601600
2024-05-12,147000000,144970000,629000
2024-05-13,148000000,144970000,595000
2024-05-14,149000000,146030000,597300
2024-05-15,150000000,145690000,600600
2024-05-17,146000000,143220000,607700
2024-05-18,153000000,155930000,608600
2024-05-19,149000000,145940000,605600
2024-05-20,149000000,145330000,604700
2024-05-21,149000000,144419000,601000
2024-05-22,149000000,144090000,600700
2024-05-24,148000000,141920000,614500
2024-05-25,149000000,142480000,612200
2024-05-26,150000000,145290000,614100
2024-05-27,155000000,147110000,598200
2024-05-28,151000000,145980000,616500
2024-05-29,152000000,145940000,605400
2024-05-31,150000000,144440000,599600
2024-06-01,153000000,147020000,603100
2024-06-04,152000000,145490000,599800
2024-06-05,153000000,145870000,601900
2024-06-07,150000000,144330000,603900
2024-06-08,149000000,144400000,611600
2024-06-09,147000000,143380000,608500
2024-06-10,147500000,142840000,609900
2024-06-11,148000000,143880000,608300
2024-06-12,148000000,143430000,615900
2024-06-14,147500000,145100000,596500
2024-06-15,146000000,145790000,602600
2024-08-03,155000000,155940000,609000
2024-08-04,153000000,154210000,614900
2024-08-05,154500000,152360000,611400
2024-08-06,154500000,154810000,614010
2024-08-07,154500000,154230000,610000
2024-08-09,152000000,152560000,597700
2024-08-10,149500000,150570000,594100
2024-08-11,150000000,153460000,600250
2024-08-12,148500000,151470000,595700
2024-08-13,145000000,150710000,588350
2024-08-14,144000000,150190000,587650
2024-08-16,144000000,150660000,577050
2024-08-18,150000000,154170000,583100
2024-08-19,148000000,153230000,579850
2024-08-20,149000000,154930000,581600
2024-08-21,150000000,155250000,584100
2024-08-23,150000000,155390000,582650
2024-08-25,151000000,156700000,593200
2024-08-26,149500000,155480000,591250
2024-08-27,151500000,156530000,590000
2024-08-28,154000000,157400000,592050
2024-08-30,152500000,157180000,593900
2024-08-31,154000000,159160000,594500
2024-09-02,153920000,157840000,592000
2024-09-04,154000000,157980000,599400
2024-09-06,153000000,156060000,599200
2024-09-07,153500000,156260000,596700
2024-09-08,154000000,157200000,594400
2024-09-09,154000000,158270000,594750
2024-09-10,156000000,158640000,596000
2024-09-13,158500000,160520000,594900
2024-09-14,156500000,159880000,594250
2024-09-15,157000000,160750000,591050
2024-09-16,158000000,161710000,591900
2024-09-17,160000000,161610000,595100
2024-09-18,159000000,161990000,591450
2024-09-21,162500000,164850000,592500
2024-09-22,165000000,166790000,595250
2024-09-23,170000000,169100000,598400
2024-09-24,167500000,167980000,603150
2024-09-25,169000000,169170000,602500
2024-09-27,176000000,174380000,598050
2024-09-28,170000000,172230000,609450
2024-09-29,168000000,170640000,606200
2024-09-30,171000000,175450000,605800
2024-10-01,175000000,176660000,619850
2024-10-02,177000000,177790000,621300
2024-10-04,177000000,177300000,615850
2024-10-05,180000000,179250000,624350
2024-10-06,178500000,177610000,634600
2024-10-07,175500000,174700000,627650
2024-10-08,175000000,176240000,624800
2024-10-09,177000000,177310000,628900
2024-10-11,174500000,174800000,631100
2024-10-12,176500000,176830000,624750
2024-10-13,178000000,177870000,628050
2024-10-14,176500000,177880000,630350
2024-10-15,179500000,180340000,626850
2024-10-16,179500000,181070000,633500
2024-10-18,191000000,184250000,633850
2024-10-19,189000000,185280000,637950
2024-10-20,194000000,187300000,642050
2024-10-21,187000000,192170000,648850
2024-10-22,193000000,197760000,663150
2024-10-23,193000000,199150000,676750
2024-10-30,178000000,199750000,687500
2024-11-01,185000000,201830000,683650
2024-11-02,183000000,202750000,694500
2024-11-03,173000000,199990000,694200
2024-11-04,172000000,199650000,689400
2024-11-05,167000000,197780000,698550
2024-11-06,163000000,196920000,696100
2024-11-08,157000000,196860000,695400
2024-11-09,155000000,192500000,691800
2024-11-10,145000000,183860000,682300
2024-11-11,157000000,187240000,668800
2024-11-12,160000000,189550000,679450
2024-11-13,159000000,186190000,682300
2024-11-15,158000000,186050000,683750
2024-11-16,159500000,185770000,682200
2024-11-17,160000000,188780000,680950
2024-11-18,165500000,192430000,683850
2024-11-19,164500000,194660000,690250
2024-11-20,167500000,195780000,689900
2024-11-22,171500000,201910000,697400
2024-11-23,166000000,197790000,698000
2024-11-24,166100000,193790000,687400
2024-11-25,166100000,193530000,693350
2024-11-26,167000000,195390000,695750
2024-11-27,167500000,197590000,699300
2024-11-29,170000000,198200000,704950
2024-11-30,167000000,197730000,702950
2024-12-01,168200000,198810000,699550
2024-12-02,168500000,200170000,704800
2024-12-03,170500000,202980000,712200
2024-12-06,168500000,199880000,712650
2024-12-07,170500000,201760000,715350
2024-12-08,172000000,203240000,718400
2024-12-09,173200000,206060000,718800
2024-12-10,175200000,210650000,723650
2024-12-11,174200000,208740000,732450
2024-12-13,174500000,210870000,736600
2024-12-14,173200000,210090000,748550
2024-12-15,178200000,214110000,745950
2024-12-16,178000000,212700000,765550
2024-12-17,177900000,215160000,767200
2024-12-18,175200000,211010000,771600
2024-12-20,174000000,211820000,766900
2024-12-21,173000000,212570000,761600
2024-12-22,176400000,216100000,762200
2024-12-23,178000000,218700000,779700
2024-12-24,179000000,219880000,785200
2024-12-25,180000000,222730000,784850
2024-12-27,185000000,227930000,799350
2024-12-28,181000000,223630000,811550
2024-12-29,182500000,226530000,796350
2024-12-30,180000000,227100000,816300
2024-12-31,177800000,226040000,813200
2025-01-01,177200000,225160000,812950
2025-01-03,174700000,223490000,799600
2025-01-04,174000000,221830000,799600
2025-01-05,174000000,221640000,794200
2025-01-06,177000000,226310000,798100
2025-01-07,177000000,228410000,799000
2025-01-08,177000000,228840000,803300
2025-01-10,179000000,231840000,818300
2025-01-11,175000000,228860000,817650
2025-01-12,176000000,230770000,806400
2025-01-14,173000000,227760000,813650
2025-01-15,172000000,226780000,803350
2025-01-17,172000000,227590000,796100
2025-01-18,171000000,227370000,806350
2025-01-19,173000000,228710000,806400
2025-01-20,177000000,234510000,808800
2025-01-21,182000000,237490000,823900
2025-01-22,185000000,239020000,824800
2025-01-24,184000000,240740000,829400
2025-01-25,185000000,242930000,835850
2025-01-26,185000000,242510000,837400
2025-01-28,181000000,239780000,836400
2025-01-29,181000000,241840000,832100
2025-01-31,185000000,245870000,834700
2025-02-01,185000000,245310000,838950
2025-02-02,185000000,247080000,840200
2025-02-03,188000000,250060000,838200
2025-02-04,195000000,255670000,845500
2025-02-05,195000000,258380000,851800
2025-02-07,210000000,274120000,877600
2025-02-08,221000000,286680000,888400
2025-02-10,213000000,277030000,916650
2025-02-11,202000000,276570000,885700
2025-02-12,208000000,283740000,884200
2025-02-14,210000000,283470000,903550
2025-02-15,207000000,282030000,907350
2025-02-16,205000000,280550000,906900
2025-02-17,211000000,285080000,908600
2025-02-18,217000000,292730000,918700
2025-02-19,224000000,299020000,921350
2025-02-21,227000000,294220000,930000
2025-02-22,218000000,292030000,930850
2025-02-23,218000000,288290000,926150
2025-02-24,217000000,285040000,913200
2025-02-25,220000000,291020000,920550
2025-02-26,219000000,287240000,924150
2025-02-28,214000000,278840000,922300
2025-03-01,220000000,282010000,921150
2025-03-02,218000000,276250000,920400
2025-03-03,223000000,278930000,907400
2025-03-04,220000000,276830000,904300
2025-03-05,220000000,275710000,883850
2025-03-07,229000000,286560000,896900
2025-03-08,241000000,291130000,912450
2025-03-09,243000000,291750000,934650
2025-03-10,244000000,289130000,924000
2025-03-11,247000000,291350000,926350
2025-03-12,259000000,295050000,926650
2025-03-14,259000000,297610000,918650
2025-03-15,280000000,319540000,912900
2025-03-16,297000000,333450000,933550
